Access Date;Access Time;Modify Date;Modify Time;Create Date;Create Time;Permissions;User ID;Group ID;File Size;Filename
18/01/22;00:53:48.0000000000;17/01/22;16:42:36.0000000000;18/01/22;00:53:48.1116104350;644;1000;1002;232;./.git/objects/05/7e8a0fd3bd36227c90f7f61eaaaa8a06317466
18/01/22;00:53:49.0000000000;17/01/22;16:42:36.0000000000;18/01/22;00:53:49.1756104080;644;1000;1002;159;./.git/objects/05/bf2ee1e56b078b99ca4cfa55ba05306551bd3f
18/01/22;00:50:50.0516149710;18/01/22;00:53:52.4196103260;18/01/22;00:53:52.4196103260;755;1000;1002;248;./.git/objects/06
18/01/22;00:50:50.0000000000;17/01/22;16:42:19.0000000000;18/01/22;00:50:50.0556149710;644;1000;1002;646;./.git/objects/06/index.html
18/01/22;00:53:50.0000000000;17/01/22;16:42:36.0000000000;18/01/22;00:53:50.2276103810;644;1000;1002;719;./.git/objects/06/408ba029722b9c41166153f9ab1cdf8bf3e7c4
18/01/22;00:53:51.0000000000;17/01/22;16:42:36.0000000000;18/01/22;00:53:51.4036103520;644;1000;1002;723;./.git/objects/06/893d303cc0bf6f58398e0df4bd82b60a2c10f5
18/01/22;00:53:52.0000000000;17/01/22;16:42:36.0000000000;18/01/22;00:53:52.4236103260;644;1000;1002;146;./.git/objects/06/d6161de1529ee0daba37e6bbce9999b8a7d7a9
18/01/22;00:50:51.1196149440;18/01/22;00:53:53.4836102990;18/01/22;00:53:53.4836102990;755;1000;1002;96;./.git/objects/0a
18/01/22;00:50:51.0000000000;17/01/22;16:42:19.0000000000;18/01/22;00:50:51.1236149440;644;1000;1002;444;./.git/objects/0a/index.html
18/01/22;00:53:53.0000000000;17/01/22;16:42:36.0000000000;18/01/22;00:53:53.4836102990;644;1000;1002;935;./.git/objects/0a/05aea3a80297fcd3dce3d371db9ed3976e3d21
18/01/22;00:50:51.1756149420;18/01/22;00:53:54.5716102710;18/01/22;00:53:54.5716102710;755;1000;1002;96;./.git/objects/0e
18/01/22;00:50:51.0000000000;17/01/22;16:42:19.0000000000;18/01/22;00:50:51.1796149420;644;1000;1002;444;./.git/objects/0e/index.html
18/01/22;00:53:54.0000000000;17/01/22;16:42:36.0000000000;18/01/22;00:53:54.5716102710;644;1000;1002;693;./.git/objects/0e/0e3756eada76d858817e4bebd26e70c515e1d3
18/01/22;00:50:52.3356149130;18/01/22;00:53:56.6276102180;18/01/22;00:53:56.6276102180;755;1000;1002;172;./.git/objects/18
18/01/22;00:50:52.0000000000;17/01/22;16:42:19.0000000000;18/01/22;00:50:52.3436149130;644;1000;1002;545;./.git/objects/18/index.html
